Autoroute entrée	Péage entrée	Classe 1	Classe 5
REIMS OUEST (THILLOIS)	MANZAT	70.1	39.2
MANZAT	VALLEE DE L'AUBE	59.4	33.3
VALLEE DE L'AUBE	MANZAT	59.4	33.3
MANZAT	CHALONS / LA VEUVE (REIMS)	65.2	36.7
CHALONS / LA VEUVE (REIMS)	MANZAT	65.2	36.7
MANZAT	CHALONS / LA VEUVE (METZ)	65.2	37.0
CHALONS / LA VEUVE (METZ)	MANZAT	65.2	37.0
ALLAINES	REIMS NORD (ORMES)	43.3	23.2
REIMS NORD (ORMES)	ALLAINES	43.3	23.2
ALLAINES	REIMS OUEST (THILLOIS)	43.9	23.7
REIMS OUEST (THILLOIS)	ALLAINES	43.9	23.7
ALLAINES	REIMS SUD	42.1	22.7
REIMS SUD	ALLAINES	42.1	22.7
ALLAINES	CHARMONT-S/BARBUISE	32.1	17.0
CHARMONT-S/BARBUISE	ALLAINES	32.1	17.0
ALLAINES	VALLEE DE L'AUBE	33.2	17.8
VALLEE DE L'AUBE	ALLAINES	33.2	17.8
ALLAINES	SOMMESOUS	35.1	18.9
SOMMESOUS	ALLAINES	35.1	18.9
ALLAINES	MONT CHOISY	37.0	20.2
MONT CHOISY	ALLAINES	37.0	20.2
ALLAINES	ST GIBRIEN	37.8	20.6
ST GIBRIEN	ALLAINES	37.8	20.6
ALLAINES	VATRY	35.7	19.0
VATRY	ALLAINES	35.7	19.0
ARTENAY	REIMS NORD (ORMES)	42.3	22.4
REIMS NORD (ORMES)	ARTENAY	42.3	22.4
ARTENAY	REIMS OUEST (THILLOIS)	42.9	22.9
REIMS OUEST (THILLOIS)	ARTENAY	42.9	22.9
ARTENAY	CHARMONT-S/BARBUISE	31.1	16.2
CHARMONT-S/BARBUISE	ARTENAY	31.1	16.2
ARTENAY	VALLEE DE L'AUBE	32.2	17.0
VALLEE DE L'AUBE	ARTENAY	32.2	17.0
ARTENAY	SOMMESOUS	34.1	18.1
SOMMESOUS	ARTENAY	34.1	18.1
ARTENAY	MONT CHOISY	36.0	19.4
MONT CHOISY	ARTENAY	36.0	19.4
ARTENAY	ST GIBRIEN	36.8	19.8
ST GIBRIEN	ARTENAY	36.8	19.8
ARTENAY	VATRY	34.7	18.2
VATRY	ARTENAY	34.7	18.2
MONTREUIL AUX LIONS	CHATEAU-THIERRY	4.2	2.5
CHATEAU-THIERRY	MONTREUIL AUX LIONS	4.2	2.5
MONTREUIL AUX LIONS	DORMANS	6.4	4.1
DORMANS	MONTREUIL AUX LIONS	6.4	4.1
MONTREUIL AUX LIONS	REIMS OUEST (THILLOIS)	9.0	5.6
REIMS OUEST (THILLOIS)	MONTREUIL AUX LIONS	9.0	5.6
MONTREUIL AUX LIONS	REIMS SUD	8.6	5.6
REIMS SUD	MONTREUIL AUX LIONS	8.6	5.6
MONTREUIL AUX LIONS	CHALONS / LA VEUVE (REIMS)	12.2	7.6
CHALONS / LA VEUVE (REIMS)	MONTREUIL AUX LIONS	12.2	7.6
MONTREUIL AUX LIONS	CHALONS / LA VEUVE (METZ)	12.5	7.8
CHALONS / LA VEUVE (METZ)	MONTREUIL AUX LIONS	12.5	7.8
MONTREUIL AUX LIONS	ST ETIENNE AU TEMPLE	12.5	7.8
ST ETIENNE AU TEMPLE	MONTREUIL AUX LIONS	12.5	7.8
MONTREUIL AUX LIONS	ST MENEHOULD	14.7	9.5
ST MENEHOULD	MONTREUIL AUX LIONS	14.7	9.5
MONTREUIL AUX LIONS	VOIE SACREE	17.9	11.0
VOIE SACREE	MONTREUIL AUX LIONS	17.9	11.0
MONTREUIL AUX LIONS	VERDUN	19.9	11.9
VERDUN	MONTREUIL AUX LIONS	19.9	11.9
MONTREUIL AUX LIONS	FRESNES EN WOEVRE	19.9	11.9
FRESNES EN WOEVRE	MONTREUIL AUX LIONS	19.9	11.9
